序号,基金,停牌股占比,股票占比,停牌股在股票中占比
5303,http://fund.eastmoney.com/161629.html,0,94.72999999999998,0
5304,http://fund.eastmoney.com/161630.html,3.81,94.27999999999999,3.998740554156172
5305,http://fund.eastmoney.com/161631.html,1.4899999999999998,92.08000000000004,1.6007735281478288
5317,http://fund.eastmoney.com/161706.html,0,82.52000000000001,0
5319,http://fund.eastmoney.com/161713.html,0,4.93,0
5320,http://fund.eastmoney.com/161714.html,0,89.4,0
5323,http://fund.eastmoney.com/161718.html,3.7799999999999994,92.52999999999999,4.0414840158238
5324,http://fund.eastmoney.com/161719.html,0,13.700000000000001,0
5325,http://fund.eastmoney.com/161720.html,0,92.63000000000001,0
5326,http://fund.eastmoney.com/161721.html,5.57,94.41000000000003,5.8379624777277
5327,http://fund.eastmoney.com/161722.html,0,51.49999999999999,0
5328,http://fund.eastmoney.com/161723.html,0,94.51000000000002,0
5329,http://fund.eastmoney.com/161724.html,0.01,94.47000000000001,0.010474494605635277
5330,http://fund.eastmoney.com/161725.html,2.94,91.21000000000002,3.1883743628673673
5331,http://fund.eastmoney.com/161726.html,2.98,94.53000000000006,3.1194389197110834
5332,http://fund.eastmoney.com/161727.html,0,27.35,0
5333,http://fund.eastmoney.com/161810.html,0.01,94.39000000000003,0.010483279169724287
5335,http://fund.eastmoney.com/161812.html,5.05,94.31999999999996,5.297943768359213
5336,http://fund.eastmoney.com/161813.html,0,0.99,0
5338,http://fund.eastmoney.com/161816.html,3.52,94.33999999999999,3.692049507027481
5339,http://fund.eastmoney.com/161818.html,0.03,88.14000000000001,0.033654924837334524
5340,http://fund.eastmoney.com/161819.html,6.41,94.33,6.72401132906745
5344,http://fund.eastmoney.com/161825.html,3.1199999999999997,92.83999999999999,3.3248081841432224
5346,http://fund.eastmoney.com/161831.html,0,87.48999999999997,0
5347,http://fund.eastmoney.com/161834.html,4,34.98,11.117287381878823
5349,http://fund.eastmoney.com/161902.html,1.1,13.18,7.757404795486602
5350,http://fund.eastmoney.com/161903.html,4.25,91.34000000000003,4.602555772146414
5351,http://fund.eastmoney.com/161907.html,0,94.96000000000002,0
5352,http://fund.eastmoney.com/161908.html,0,0.74,0
5353,http://fund.eastmoney.com/161910.html,11.41,95.22,11.85824152982748
5355,http://fund.eastmoney.com/162006.html,2.85,75.10000000000001,3.7450722733245727
5357,http://fund.eastmoney.com/162102.html,0.02,70.68000000000005,0.027901785714285695
5358,http://fund.eastmoney.com/162105.html,0.7300000000000001,18.659999999999975,3.7131230925737593
5359,http://fund.eastmoney.com/162107.html,5.21,92.91999999999999,5.547274275979558
5360,http://fund.eastmoney.com/162108.html,0,1.21,0
5361,http://fund.eastmoney.com/162201.html,3.03,89.67,3.341788904819676
